,Country,Emissions,Population,em_per_capita
0,Germany,249469819.0,82792351,3.0131988763068223
1,Poland,139997180.0,37976687,3.6863979209139544
2,Italy,70734078.0,60483973,1.1694681167852514
3,Czech Republic,42944313.0,10610055,4.047510875297065
4,Netherlands,40716370.0,17181084,2.3698370836205678
5,Spain,34821514.0,46658447,0.7463067512727116
6,Greece,27125219.0,10741165,2.5253516727468575
7,Bulgaria,20880477.0,7050034,2.9617555035904792
8,Romania,18206972.0,19533481,0.9320904963124597
9,France,18034326.0,67026224,0.26906373242807174
10,Estonia,10991570.0,1319133,8.332419854555985
11,Belgium,9631007.0,11398589,0.8449297540248183
12,Hungary,8720886.0,9778371,0.8918546862253437
13,Ireland,7104736.0,4830392,1.4708404618093107
14,Slovakia,5665001.0,5443120,1.040763569423419
15,Finland,5340735.0,5513130,0.9687301043146089
16,Slovenia,4554209.0,2066880,2.203422066109305
17,Denmark,3859820.0,5781190,0.6676514696801178
18,Portugal,3782319.0,10291027,0.3675356210803839
19,Cyprus,3293851.0,864236,3.8112865004466374
20,Austria,2054936.0,8822267,0.23292607217623315
21,Croatia,1992056.0,4105493,0.48521724431146274
22,Latvia,836698.0,1934379,0.43254088262951573
23,Malta,504298.0,475701,1.0601154927149616
24,Sweden,247527.0,10120242,0.024458604843639115
25,United Kingdom,62805506.1123,66436000,0.9453535148458667